question,options,correct_answer
"If you like someone right away, it is said that you have ""taken a"" what ""to him""?","['⬥ A:Gloss', '⬥ B:Shine', '⬥ C:Glare', '⬥ D:Can of Reddi-wip']",⬥ B:Shine
"A resident of a small town is said to be a ""local"" what?","['⬥ A:Yogurt', '⬥ B:Yam', '⬥ C:Yokel', '⬥ D:Yoko Ono']",⬥ C:Yokel
A Brillo Pad is commonly used to do what?,"['⬥ A:Mop the floor', '⬥ B:Clean pots and pans', '⬥ C:Heat food', '⬥ D:Exfoliate']",⬥ B:Clean pots and pans
"On a standard hopscotch surface, what is usually drawn inside each square?","['⬥ A:Letter', '⬥ B:Number', '⬥ C:Star', '⬥ D:Stick figure']",⬥ B:Number
Which of these contractions is considered to be improper English?,"[""⬥ A:Don't"", ""⬥ B:Ain't"", ""⬥ C:Won't"", ""⬥ D:Can't""]",⬥ B:Ain't
Which of the following gems is often classified as either natural or cultured?,"['⬥ A:Pearl', '⬥ B:Emerald', '⬥ C:Ruby', '⬥ D:Diamond']",⬥ A:Pearl
Which of these crops is most likely to be harvested using a combine?,"['⬥ A:Cabbage', '⬥ B:Wheat', '⬥ C:Grapes', '⬥ D:Apples']",⬥ B:Wheat
"Known for its artist community, the town of Taos is located in what U.S. state?","['⬥ A:Arizona', '⬥ B:Oregon', '⬥ C:Colorado', '⬥ D:New Mexico']",⬥ D:New Mexico
"In his 1998  song ""Hard Knock Life,"" Jay-Z samples a song from what Broadway musical?","['⬥ A:A Chorus Line', '⬥ B:42nd Street', '⬥ C:Annie', '⬥ D:West Side Story']",⬥ C:Annie
"On the TV series ""Crossing Jordan,"" what is the title character's occupation?","['⬥ A:Defense attorney', '⬥ B:Child psychologist', '⬥ C:Private investigator', '⬥ D:Medical examiner']",⬥ D:Medical examiner
"What dinosaur gets its name from the Latin words meaning ""swift robber""?","['⬥ A:Triceratops', '⬥ B:Stegosaurus', '⬥ C:Velociraptor', '⬥ D:Tyrannosaurus']",⬥ C:Velociraptor
"In 1977, Janet Guthrie became the first woman to compete in what sporting event?","[""⬥ A:America's Cup"", '⬥ B:Kentucky Derby', '⬥ C:Indy 500', '⬥ D:Boston Marathon']",⬥ C:Indy 500
"What is the dot over the letter ""i"" called?""Phone-a-Friend"" and ""50:50""lifelinesused.","['⬥ A:Abb', '⬥ B:Tittle', '⬥ C:Dation', '⬥ D:Blip']",⬥ B:Tittle
The Reina Sofia Art Center is located in what European city?'50:50' lifeline used,"['⬥ A:Madrid', '⬥ B:Lisbon', '⬥ C:Rome', '⬥ D:Vienna']",⬥ A:Madrid
"When Charles Lindbergh made the first nonstop transatlantic flight, he flew between which two cities?'50:50' lifeline used","['⬥ A:Toronto and Stockholm', '⬥ B:Chicago and London', '⬥ C:Saint Louis and Dublin', '⬥ D:New York and Paris']",⬥ D:New York and Paris
What kind of food is pastrami?'50:50' lifeline used,"['⬥ A:dried salmon', '⬥ B:smoked beef', '⬥ C:cured ham', '⬥ D:salted bacon']",⬥ B:smoked beef
Which of these appears on the reverse of a twenty dollar bill?'50:50' lifeline used,"['⬥ A:Lincoln Memorial', '⬥ B:U.S. Capitol', '⬥ C:White House', '⬥ D:U.S. Treasury']",⬥ C:White House
"Traditionally, what is the only occasion when alcohol is allowed into the chamber of the House of Commons?'50:50' and 'Ask the Audience' lifelines used","[""⬥ A:PM's question time"", '⬥ B:Budget Speech', '⬥ C:State opening', '⬥ D:Election of new Speaker']",⬥ B:Budget Speech
New Sarum is the former name of which city?'50:50' and 'Ask the Audience' lifelines used,"['⬥ A:Salisbury', '⬥ B:Stoke-on-Trent', '⬥ C:Shrewsbury', '⬥ D:Sheffield']",⬥ A:Salisbury
Jiffy Pop is a popular brand of what?,"['⬥ A:Popcorn', '⬥ B:Soft drink', '⬥ C:Popsicle', '⬥ D:Viagra']",⬥ A:Popcorn
"In the 1975 movie ""Jaws"", what kind of shark is the title character?","['⬥ A:Mako shark', '⬥ B:Hammerhead shark', '⬥ C:Great white shark', '⬥ D:Tiger shark']",⬥ C:Great white shark
"In its U.S. version, which of these board games requires you to collect six wedge-shaped pieces to win?","['⬥ A:Risk', '⬥ B:Trivial Pursuit', '⬥ C:Life', '⬥ D:Candy Land']",⬥ B:Trivial Pursuit
A blindfolded woman carrying a scale is traditionally used to represent which of these concepts?,"['⬥ A:Justice', '⬥ B:Liberty', '⬥ C:Wisdom', '⬥ D:Community']",⬥ A:Justice
The period known as the Renaissance takes its name from a word meaning what?,"['⬥ A:Enlightenment', '⬥ B:Truth', '⬥ C:Rebirth', '⬥ D:Victory']",⬥ C:Rebirth
"People would most likely use the mnemonic ""Every good boy does fine"" when doing what?","['⬥ A:Learning geography', '⬥ B:Reading music', '⬥ C:Reading Latin', '⬥ D:Learning to type']",⬥ B:Reading music
What is the national capital of Canada?,"['⬥ A:Winnipeg', '⬥ B:Calgary', '⬥ C:Edmonton', '⬥ D:Ottawa']",⬥ D:Ottawa
"In the U.S., how many tablespoons are in a cup?'Ask the Audience' and '50:50' lifelines used","['⬥ A:12', '⬥ B:16', '⬥ C:18', '⬥ D:24']",⬥ B:16
"In the human body, adrenaline is produced by glands located on top of which of these organs?","['⬥ A:Lungs', '⬥ B:Liver', '⬥ C:Stomach', '⬥ D:Kidneys']",⬥ D:Kidneys
Which of these scientists became famous for his theoretical work on black holes?'Phone-a-Friend' lifeline used,"['⬥ A:Carl Sagan', '⬥ B:Richard Feynman', '⬥ C:Stephen Hawking', '⬥ D:Freeman Dyson']",⬥ C:Stephen Hawking
"What U.S. Senator was known as ""The Great Compromiser"" for his efforts to keep the Union from dividing?","['⬥ A:Daniel Webster', '⬥ B:Stephen Douglas', '⬥ C:John C. Calhoun', '⬥ D:Henry Clay']",⬥ D:Henry Clay
Which of these articles of clothing is usually held in place by straps tied around the neck?,"['⬥ A:Camisole', '⬥ B:Tank Top', '⬥ C:Halter Top', '⬥ D:Straitjacket']",⬥ C:Halter Top
"The sequel to what popular 1990s movie is subtitled ""Back in the Habit""?","['⬥ A:Batman', '⬥ B:Ghost', '⬥ C:Home Alone', '⬥ D:Sister Act']",⬥ D:Sister Act
"Children usually experience discomfort known as ""growing pains"" in what part of the body?","['⬥ A:Neck', '⬥ B:Shoulders', '⬥ C:Legs', '⬥ D:Wrists']",⬥ C:Legs
"In the classic TV ads, what was the usual answe to the question ""Pardon me, but do you have any Grey Poupon?""","['⬥ A:Surely I do', '⬥ B:But of course', '⬥ C:Well let me check', '⬥ D:Say please']",⬥ B:But of course
"Introduced in 2001, Harmony is a breakfast cereal targeted toward what category of consumer?'Ask The Audience' lifeline used","['⬥ A:Women', '⬥ B:Kids', '⬥ C:Seniors', '⬥ D:Athletes']",⬥ A:Women
"Publisher John Bartlett is best known for his 1855 book titled ""Familiar"" what?'50:50' lifeline used","['⬥ A:Birds', '⬥ B:Familiy names', '⬥ C:Quotations', '⬥ D:Cities']",⬥ C:Quotations
Who served as U.S. vice president under President Dwight D. Eisenhower?'Phone-a-Friend' lifeline used,"['⬥ A:Nelson Rockefeller', '⬥ B:Spiro Agnew', '⬥ C:Lyndon Johnson', '⬥ D:Richard Nixon']",⬥ D:Richard Nixon
Break dancing is most often performed to what type of music?,"['⬥ A:Rap', '⬥ B:Country', '⬥ C:Classical', '⬥ D:The theme to “Jeopardy”']",⬥ A:Rap
What additional flavoring gives the soft drink Pepsi Twist its “twist”?,"['⬥ A:Cherry', '⬥ B:Vanilla', '⬥ C:Ginger', '⬥ D:Lemon']",⬥ D:Lemon
Hospital “candy stripers” were named for their uniforms which features what color stripes?,"['⬥ A:Red and white', '⬥ B:Blue and green', '⬥ C:Orange and yellow', '⬥ D:Purple and gold']",⬥ A:Red and white
Sherpas are people known for their ability to lead treks through what mountains?,"['⬥ A:Andes', '⬥ B:Himalayas', '⬥ C:Rockies', '⬥ D:Alps']",⬥ B:Himalayas
The Kentucky Derby is also known as the “Run for the” what?,"['⬥ A:Money', '⬥ B:Rainbow', '⬥ C:Roses', '⬥ D:Gold']",⬥ C:Roses
"In the Wham! song “Wake Me Up Before You Go Go,” what dance is mentioned repeatedly?'Ask the Audience' lifeline used","['⬥ A:Rumba', '⬥ B:Merengue', '⬥ C:Jitterbug', '⬥ D:Can-can']",⬥ C:Jitterbug
